Country,Word
Argentina,Democracy
Austria,Democracy
Belgium,Democracy
Brazil,Democracy
Bulgaria,Democracy
Canada,Democracy
China,Democracy
Cote D'Ivoire,Democracy
France,Democracy
Germany,Democracy
India,Democracy
Iran,Democracy
Italy,Democracy
Kenya,Democracy
Kuwait,Democracy
Malaysia,Democracy
Nigeria,Democracy
Norway,Democracy
Poland,Democracy
South Africa,Democracy
South Korea,Democracy
Spain,Democracy
Sudan,Democracy
Sweden,Democracy
Switzerland,Democracy
Tunisia,Democracy
UK,Democracy
Uruguay,Democracy
USA,Democracy
Yemen,Democracy
Argentina,EqualFooting
Belgium,EqualFooting
Brazil,EqualFooting
Cote D'Ivoire,EqualFooting
France,EqualFooting
India,EqualFooting
Iran,EqualFooting
Italy,EqualFooting
Japan,EqualFooting
Kenya,EqualFooting
Kuwait,EqualFooting
Malaysia,EqualFooting
Mauritius,EqualFooting
Mexico,EqualFooting
Nigeria,EqualFooting
Norway,EqualFooting
Poland,EqualFooting
Portugal,EqualFooting
South Korea,EqualFooting
Spain,EqualFooting
Sweden,EqualFooting
Switzerland,EqualFooting
Tunisia,EqualFooting
UK,EqualFooting
USA,EqualFooting
Yemen,EqualFooting
Argentina,NetNeutrality
Brazil,NetNeutrality
Canada,NetNeutrality
Cote D'Ivoire,NetNeutrality
India,NetNeutrality
Iran,NetNeutrality
Italy,NetNeutrality
Kenya,NetNeutrality
Kuwait,NetNeutrality
Mexico,NetNeutrality
Poland,NetNeutrality
Portugal,NetNeutrality
Russia,NetNeutrality
South Korea,NetNeutrality
Spain,NetNeutrality
Sudan,NetNeutrality
Switzerland,NetNeutrality
Uruguay,NetNeutrality
USA,NetNeutrality